time,cpu,mem,ram,disk,disk_io,network,gpu load,gpu memutil
2021-04-18 07:59:52.091075,62.7,8925.6171875,10396.72265625,11736.03515625,"{'rc': 1, 'wc': 1376, 'rb': 4096, 'wb': 1290641408}","{'sent': -94031583.30249023, 'recv': -8802757317.421684}",0.0,2.1560911624856534
2021-04-18 07:59:54.536412,65.5,9274.12890625,10743.56640625,11736.03515625,"{'rc': 1, 'wc': 1379, 'rb': 4096, 'wb': 1290702848}","{'sent': -94031583.30143738, 'recv': -8802757317.393509}",0.0,2.1560911624856534
2021-04-18 07:59:57.050798,58.4,9192.30859375,10662.2265625,11736.03515625,"{'rc': 1, 'wc': 1397, 'rb': 4096, 'wb': 1309577216}","{'sent': -94031583.30112839, 'recv': -8802757317.366154}",0.0,2.1560911624856534
2021-04-18 07:59:59.486828,69.2,9994.8046875,11470.78515625,11736.03515625,"{'rc': 1, 'wc': 1558, 'rb': 4096, 'wb': 1477066752}","{'sent': -94031583.30021286, 'recv': -8802757317.339008}",0.0,2.1560911624856534
2021-04-18 08:00:02.013193,72.2,9776.1640625,11243.984375,11736.03515625,"{'rc': 1, 'wc': 1564, 'rb': 4096, 'wb': 1477103616}","{'sent': -94031583.29969025, 'recv': -8802757317.311188}",0.0,2.1560911624856534
2021-04-18 08:00:04.511837,59.1,9720.625,11188.67578125,11736.03515625,"{'rc': 1, 'wc': 1566, 'rb': 4096, 'wb': 1477160960}","{'sent': -94031583.29916, 'recv': -8802757317.285084}",0.0,2.1560911624856534
2021-04-18 08:00:07.034488,66.4,9693.5859375,11162.55859375,11736.03515625,"{'rc': 1, 'wc': 1613, 'rb': 4096, 'wb': 1477406720}","{'sent': -94031583.29827309, 'recv': -8802757317.256626}",0.0,2.1560911624856534
2021-04-18 08:00:09.583677,67.7,10181.52734375,11649.72265625,11736.03515625,"{'rc': 1, 'wc': 1613, 'rb': 4096, 'wb': 1477406720}","{'sent': -94031583.29827309, 'recv': -8802757317.22836}",0.0,2.1560911624856534
2021-04-18 08:00:12.086886,68.1,9980.0703125,11451.109375,11736.03515625,"{'rc': 1, 'wc': 1644, 'rb': 4096, 'wb': 1477541888}","{'sent': -94031583.29591656, 'recv': -8802757317.20139}",0.0,2.1560911624856534
2021-04-18 08:00:14.609160,44.1,9906.83984375,11377.16015625,11736.03515625,"{'rc': 1, 'wc': 1645, 'rb': 4096, 'wb': 1477545984}","{'sent': -94031583.29524326, 'recv': -8802757317.172894}",0.0,2.1560911624856534
2021-04-18 08:00:17.071458,58.7,8565.30078125,10036.8671875,11736.03515625,"{'rc': 1, 'wc': 1647, 'rb': 4096, 'wb': 1477570560}","{'sent': -94031583.2950697, 'recv': -8802757317.146267}",0.0,2.1560911624856534
